epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1554150523824,2019-04-01T16.28.43.824,0.000,0.395,-0.893,-0.107
1554150523904,2019-04-01T16.28.43.904,0.080,0.354,-0.969,-0.139
1554150523984,2019-04-01T16.28.43.984,0.160,0.361,-0.966,-0.125
1554150524064,2019-04-01T16.28.44.064,0.240,0.359,-0.987,-0.146
1554150524144,2019-04-01T16.28.44.144,0.320,0.300,-0.942,-0.126
1554150524224,2019-04-01T16.28.44.224,0.400,0.187,-0.844,-0.065
1554150524304,2019-04-01T16.28.44.304,0.480,0.183,-0.952,-0.007
1554150524384,2019-04-01T16.28.44.384,0.560,0.205,-0.956,0.058
1554150524464,2019-04-01T16.28.44.464,0.640,0.200,-0.880,0.063
1554150524544,2019-04-01T16.28.44.544,0.720,0.254,-0.912,0.077
1554150524624,2019-04-01T16.28.44.624,0.800,0.252,-0.906,0.098
1554150524704,2019-04-01T16.28.44.704,0.880,0.261,-0.946,0.099
1554150524784,2019-04-01T16.28.44.784,0.960,0.295,-1.048,0.059
1554150524864,2019-04-01T16.28.44.864,1.040,0.299,-1.184,-0.047
1554150524944,2019-04-01T16.28.44.944,1.120,0.254,-0.808,-0.089
1554150525024,2019-04-01T16.28.45.024,1.200,0.405,-0.792,-0.147
1554150525104,2019-04-01T16.28.45.104,1.280,0.400,-0.987,-0.059
1554150525184,2019-04-01T16.28.45.184,1.360,0.308,-0.855,-0.009
1554150525264,2019-04-01T16.28.45.264,1.440,0.331,-0.909,-0.037
1554150525344,2019-04-01T16.28.45.344,1.520,0.324,-0.873,-0.037
1554150525424,2019-04-01T16.28.45.424,1.600,0.323,-0.934,-0.022
1554150525504,2019-04-01T16.28.45.504,1.680,0.323,-1.122,0.018
1554150525584,2019-04-01T16.28.45.584,1.760,0.257,-1.022,-0.054
1554150525664,2019-04-01T16.28.45.664,1.840,0.194,-0.736,-0.091
1554150525744,2019-04-01T16.28.45.744,1.920,0.167,-0.938,-0.135
1554150525824,2019-04-01T16.28.45.824,2.000,0.205,-1.087,-0.042
1554150525904,2019-04-01T16.28.45.904,2.080,0.188,-0.873,0.024
1554150525984,2019-04-01T16.28.45.984,2.160,0.145,-0.936,-0.004
1554150526064,2019-04-01T16.28.46.064,2.240,0.144,-0.959,-0.012
1554150526144,2019-04-01T16.28.46.144,2.320,0.197,-0.941,-0.024
1554150526224,2019-04-01T16.28.46.224,2.400,0.297,-1.030,0.011
1554150526304,2019-04-01T16.28.46.304,2.480,0.278,-0.964,0.016
1554150526384,2019-04-01T16.28.46.384,2.560,0.208,-0.903,-0.009
1554150526464,2019-04-01T16.28.46.464,2.640,0.278,-0.888,-0.031
1554150526544,2019-04-01T16.28.46.544,2.720,0.377,-0.870,-0.067
1554150526624,2019-04-01T16.28.46.624,2.800,0.427,-0.983,-0.083
1554150526704,2019-04-01T16.28.46.704,2.880,0.385,-0.915,-0.025
1554150526784,2019-04-01T16.28.46.784,2.960,0.428,-0.831,-0.057
1554150526864,2019-04-01T16.28.46.864,3.040,0.401,-1.002,-0.017
1554150526944,2019-04-01T16.28.46.944,3.120,0.260,-0.916,0.000
1554150527024,2019-04-01T16.28.47.024,3.200,0.263,-0.898,-0.027
1554150527104,2019-04-01T16.28.47.104,3.280,0.280,-0.945,-0.020
1554150527184,2019-04-01T16.28.47.184,3.360,0.270,-0.935,0.008
1554150527264,2019-04-01T16.28.47.264,3.440,0.301,-0.924,0.010
1554150527344,2019-04-01T16.28.47.344,3.520,0.302,-0.945,0.008
1554150527424,2019-04-01T16.28.47.424,3.600,0.286,-0.935,0.011
1554150527504,2019-04-01T16.28.47.504,3.680,0.286,-0.930,0.012
1554150527584,2019-04-01T16.28.47.584,3.760,0.281,-0.939,-0.000
1554150527664,2019-04-01T16.28.47.664,3.840,0.291,-0.938,0.004
1554150527744,2019-04-01T16.28.47.744,3.920,0.294,-0.938,0.007
1554150527824,2019-04-01T16.28.47.824,4.000,0.292,-0.935,0.009
1554150527904,2019-04-01T16.28.47.904,4.080,0.291,-0.935,0.008
1554150527984,2019-04-01T16.28.47.984,4.160,0.281,-0.935,-0.007
1554150528064,2019-04-01T16.28.48.064,4.240,0.285,-0.936,-0.007
1554150528144,2019-04-01T16.28.48.144,4.320,0.288,-0.938,-0.009
1554150528224,2019-04-01T16.28.48.224,4.400,0.286,-0.942,-0.007
1554150528304,2019-04-01T16.28.48.304,4.480,0.295,-0.935,0.003
1554150528384,2019-04-01T16.28.48.384,4.560,0.293,-0.937,0.008
1554150528464,2019-04-01T16.28.48.464,4.640,0.292,-0.933,0.006
1554150528544,2019-04-01T16.28.48.544,4.720,0.292,-0.930,0.012
1554150528624,2019-04-01T16.28.48.624,4.800,0.295,-0.932,0.013
1554150528704,2019-04-01T16.28.48.704,4.880,0.298,-0.932,0.014
1554150528784,2019-04-01T16.28.48.784,4.960,0.306,-0.933,0.018
1554150528864,2019-04-01T16.28.48.864,5.040,0.307,-0.929,0.025
1554150528944,2019-04-01T16.28.48.944,5.120,0.309,-0.929,0.023
1554150529024,2019-04-01T16.28.49.024,5.200,0.309,-0.932,0.019
1554150529104,2019-04-01T16.28.49.104,5.280,0.304,-0.934,0.018
1554150529184,2019-04-01T16.28.49.184,5.360,0.302,-0.932,0.012
1554150529264,2019-04-01T16.28.49.264,5.440,0.304,-0.930,0.016
1554150529344,2019-04-01T16.28.49.344,5.520,0.299,-0.933,0.015
1554150529424,2019-04-01T16.28.49.424,5.600,0.298,-0.936,0.020
