epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1552339834669,2019-03-11T17.30.34.669,0.000,0.908,0.201,0.371
1552339834749,2019-03-11T17.30.34.749,0.080,0.916,0.197,0.375
1552339834829,2019-03-11T17.30.34.829,0.160,0.905,0.225,0.377
1552339834909,2019-03-11T17.30.34.909,0.240,0.906,0.228,0.390
1552339834989,2019-03-11T17.30.34.989,0.320,0.910,0.210,0.386
1552339835069,2019-03-11T17.30.35.069,0.400,0.899,0.217,0.385
1552339835149,2019-03-11T17.30.35.149,0.480,0.918,0.210,0.386
1552339835229,2019-03-11T17.30.35.229,0.560,0.916,0.208,0.361
1552339835309,2019-03-11T17.30.35.309,0.640,0.938,0.193,0.346
1552339835389,2019-03-11T17.30.35.389,0.720,0.942,0.196,0.337
1552339835469,2019-03-11T17.30.35.469,0.800,0.937,0.188,0.340
1552339835549,2019-03-11T17.30.35.549,0.880,0.920,0.176,0.354
1552339835629,2019-03-11T17.30.35.629,0.960,0.919,0.180,0.357
1552339835709,2019-03-11T17.30.35.709,1.040,0.939,0.192,0.346
1552339835789,2019-03-11T17.30.35.789,1.120,0.935,0.186,0.333
1552339835869,2019-03-11T17.30.35.869,1.200,0.944,0.181,0.331
1552339835949,2019-03-11T17.30.35.949,1.280,0.940,0.182,0.324
1552339836029,2019-03-11T17.30.36.029,1.360,0.943,0.187,0.331
1552339836109,2019-03-11T17.30.36.109,1.440,0.950,0.180,0.358
1552339836189,2019-03-11T17.30.36.189,1.520,0.926,0.184,0.362
1552339836269,2019-03-11T17.30.36.269,1.600,0.798,0.221,0.321
1552339836349,2019-03-11T17.30.36.349,1.680,0.658,0.287,0.256
1552339836429,2019-03-11T17.30.36.429,1.760,0.967,0.356,0.298
1552339836509,2019-03-11T17.30.36.509,1.840,0.904,0.271,0.207
1552339836589,2019-03-11T17.30.36.589,1.920,0.750,0.222,0.088
1552339836669,2019-03-11T17.30.36.669,2.000,0.705,0.235,-0.021
1552339836749,2019-03-11T17.30.36.749,2.080,0.683,0.250,-0.108
1552339836829,2019-03-11T17.30.36.829,2.160,0.604,0.225,-0.186
1552339836909,2019-03-11T17.30.36.909,2.240,0.841,0.392,-0.337
1552339836989,2019-03-11T17.30.36.989,2.320,1.056,0.573,-0.353
1552339837069,2019-03-11T17.30.37.069,2.400,1.556,0.652,-0.458
1552339837149,2019-03-11T17.30.37.149,2.480,2.056,0.745,-0.200
1552339837229,2019-03-11T17.30.37.229,2.560,1.621,0.746,0.055
1552339837309,2019-03-11T17.30.37.309,2.640,-0.270,0.169,0.111
1552339837389,2019-03-11T17.30.37.389,2.720,-0.592,-0.158,-0.161
1552339837469,2019-03-11T17.30.37.469,2.800,0.161,0.129,-0.149
1552339837549,2019-03-11T17.30.37.549,2.880,0.459,-0.027,0.533
1552339837629,2019-03-11T17.30.37.629,2.960,1.426,-1.157,0.038
1552339837709,2019-03-11T17.30.37.709,3.040,1.344,-3.775,-0.544
1552339837789,2019-03-11T17.30.37.789,3.120,0.114,-0.183,-0.412
1552339837869,2019-03-11T17.30.37.869,3.200,1.083,-0.898,-1.128
1552339837949,2019-03-11T17.30.37.949,3.280,0.987,-0.729,-0.583
1552339838029,2019-03-11T17.30.38.029,3.360,0.502,-0.704,-0.393
1552339838109,2019-03-11T17.30.38.109,3.440,0.463,-0.688,-0.274
1552339838189,2019-03-11T17.30.38.189,3.520,0.587,-0.745,-0.208
1552339838269,2019-03-11T17.30.38.269,3.600,0.587,-0.817,-0.446
1552339838349,2019-03-11T17.30.38.349,3.680,0.436,-0.760,-0.583
1552339838429,2019-03-11T17.30.38.429,3.760,0.817,-0.264,-0.304
1552339838509,2019-03-11T17.30.38.509,3.840,0.708,-0.768,-0.406
1552339838589,2019-03-11T17.30.38.589,3.920,0.482,-0.746,-0.586
1552339838669,2019-03-11T17.30.38.669,4.000,0.538,-0.713,-0.488
1552339838749,2019-03-11T17.30.38.749,4.080,0.605,-0.694,-0.379
1552339838829,2019-03-11T17.30.38.829,4.160,0.575,-0.685,-0.278
1552339838909,2019-03-11T17.30.38.909,4.240,0.562,-0.714,-0.375
1552339838989,2019-03-11T17.30.38.989,4.320,0.570,-0.726,-0.409
1552339839069,2019-03-11T17.30.39.069,4.400,0.581,-0.711,-0.369
1552339839149,2019-03-11T17.30.39.149,4.480,0.573,-0.708,-0.355
1552339839229,2019-03-11T17.30.39.229,4.560,0.569,-0.717,-0.375
1552339839309,2019-03-11T17.30.39.309,4.640,0.570,-0.715,-0.375
1552339839389,2019-03-11T17.30.39.389,4.720,0.571,-0.710,-0.375
1552339839469,2019-03-11T17.30.39.469,4.800,0.562,-0.699,-0.375
1552339839549,2019-03-11T17.30.39.549,4.880,0.565,-0.731,-0.394
1552339839629,2019-03-11T17.30.39.629,4.960,0.568,-0.614,-0.389
1552339839709,2019-03-11T17.30.39.709,5.040,0.584,-0.636,-0.555
1552339839789,2019-03-11T17.30.39.789,5.120,0.524,-0.625,-0.630
1552339839869,2019-03-11T17.30.39.869,5.200,0.554,-0.624,-0.574
