elapsed (s),x-axis (g),y-axis (g),z-axis (g)
0.0,0.875,0.161,0.438
0.08,0.898,0.166,0.448
0.16,0.8959999999999999,0.187,0.449
0.24,0.888,0.177,0.444
0.32,0.898,0.16699999999999998,0.435
0.4,0.897,0.17800000000000002,0.4320000000000001
0.48,0.8959999999999999,0.185,0.433
0.56,0.899,0.191,0.428
0.64,0.8959999999999999,0.191,0.4320000000000001
0.72,0.899,0.188,0.43
0.8,0.898,0.194,0.415
0.88,0.898,0.185,0.441
0.96,0.9,0.194,0.429
1.04,0.892,0.189,0.435
1.12,0.883,0.166,0.441
1.2,0.878,0.203,0.463
1.28,0.908,0.21,0.424
1.36,0.8909999999999999,0.202,0.419
1.44,0.906,0.189,0.419
1.52,0.901,0.195,0.417
1.6,0.892,0.202,0.42
1.68,0.917,0.201,0.426
1.76,0.8959999999999999,0.19,0.412
1.84,0.905,0.209,0.422
1.92,0.905,0.212,0.405
2.0,0.887,0.2,0.42
2.08,0.8859999999999999,0.21,0.44
2.16,0.905,0.219,0.447
2.24,0.917,0.219,0.4320000000000001
2.32,0.873,0.21,0.477
2.4,0.878,0.205,0.481
2.48,0.8590000000000001,0.204,0.48
2.56,0.8240000000000001,0.204,0.429
2.64,0.8170000000000001,0.197,0.471
2.72,0.826,0.235,0.565
2.8000000000000003,0.8690000000000001,0.317,0.502
2.88,0.82,0.386,0.422
2.96,0.856,0.406,0.48
3.04,0.8440000000000001,0.32299999999999995,0.4920000000000001
3.12,0.8009999999999999,0.301,0.476
3.2,0.809,0.326,0.486
3.28,0.8690000000000001,0.333,0.499
3.36,0.871,0.269,0.47
3.44,0.884,0.129,0.339
3.52,0.976,0.078,0.159
3.6,1.111,0.16899999999999998,0.184
3.68,0.962,0.115,0.209
3.76,0.908,0.067,0.23
3.84,1.01,0.165,0.35100000000000003
3.92,0.848,0.305,0.302
4.0,0.952,0.363,0.35200000000000004
4.08,0.936,0.3,0.376
4.16,0.901,0.312,0.393
4.24,0.855,0.266,0.405
4.32,0.8490000000000001,0.267,0.3670000000000001
4.4,0.8959999999999999,0.248,0.384
4.48,0.908,0.243,0.392
4.5600000000000005,0.908,0.254,0.403
4.64,0.952,0.201,0.326
4.72,1.164,0.105,0.14400000000000002
4.8,1.111,0.077,-0.021
4.88,1.016,0.153,-0.104
4.96,0.96,0.135,-0.08199999999999999
5.04,0.895,0.1,-0.095
5.12,1.021,0.208,0.122
5.2,1.012,0.337,0.267
5.28,0.926,0.32299999999999995,0.299
5.36,0.888,0.313,0.349
5.44,0.9,0.354,0.399
5.5200000000000005,0.8740000000000001,0.319,0.414
5.6000000000000005,0.845,0.335,0.441
5.68,0.83,0.325,0.454
5.76,0.823,0.348,0.456
5.84,0.8,0.35700000000000004,0.473
5.92,0.805,0.383,0.457
6.0,0.7929999999999999,0.34600000000000003,0.498
6.08,0.81,0.173,0.382
6.16,1.046,0.2,-0.07200000000000001
6.24,1.162,0.152,-0.276
6.32,1.017,0.095,-0.16899999999999998
6.4,0.868,0.127,-0.181
6.48,0.816,0.123,-0.053
6.5600000000000005,0.865,0.201,0.087
6.6400000000000015,0.8290000000000001,0.341,0.092
6.72,0.785,0.334,-0.008
6.8,0.983,0.452,-0.035
6.88,1.253,0.595,-0.11
6.96,1.757,0.765,-0.138
7.04,1.705,0.573,0.319
7.12,0.84,0.086,0.408
7.2,0.096,0.084,0.045
7.28,-0.11,0.213,-0.07200000000000001
7.36,-0.292,0.14300000000000002,-0.179
7.44,0.458,-0.254,0.138
7.52,0.321,0.4,0.34600000000000003
7.6,1.4680000000000002,-1.05,0.608
7.68,2.636,-3.151,-0.081
7.76,0.3670000000000001,-1.06,0.217
7.84,0.29600000000000004,-0.52,0.527
7.92,0.6409999999999999,-0.426,0.7020000000000001
8.0,0.75,-0.269,0.787
8.08,0.695,-0.369,0.777
8.16,0.596,-0.391,0.747
8.24,0.547,-0.345,0.743
8.32,0.526,-0.362,0.688
8.4,0.595,-0.33,0.7
8.48,0.619,-0.358,0.8320000000000001
8.56,0.545,-0.145,0.721
8.64,0.672,-0.196,0.764
8.72,0.6659999999999999,-0.221,0.882
8.8,0.4,-0.231,0.912
8.88,0.418,-0.205,0.797
8.96,0.521,-0.192,0.843
9.04,0.5489999999999999,-0.183,0.895
9.12,0.5529999999999999,-0.233,0.8059999999999999
9.2,0.6,-0.289,0.7609999999999999
9.28,0.65,-0.238,0.989
9.36,0.509,-0.129,0.949
9.44,0.562,0.068,0.8420000000000001
9.52,0.534,0.225,0.7709999999999999
9.6,0.528,0.25,0.7559999999999999
9.68,0.586,0.29100000000000004,0.6629999999999999
9.76,0.703,0.198,0.607
9.84,0.76,0.147,0.518
9.92,0.868,0.096,0.364
10.0,0.923,0.123,0.23
10.08,0.959,0.102,0.008
10.16,0.963,-0.026,-0.24
10.24,1.005,0.023,-0.449
10.32,0.926,0.009000000000000001,-0.446
10.4,0.862,-0.037000000000000005,-0.517
10.48,0.87,-0.052000000000000005,-0.535
10.56,0.6970000000000001,0.146,-0.608
10.64,0.804,0.006,-0.79
10.72,1.028,-0.067,-0.747
10.8,0.613,0.277,-0.7490000000000001
10.88,0.6809999999999999,-0.038,-0.677
10.96,0.777,-0.0,-0.612
11.04,1.061,0.006,-0.63
11.12,1.416,0.416,-0.759
11.2,1.46,0.7290000000000001,-0.622
11.28,0.736,0.472,-0.135
11.36,0.7240000000000001,-0.049,-0.21
11.44,1.0759999999999998,0.147,-0.556
11.52,0.805,0.327,-0.499
11.6,0.732,0.101,-0.414
11.68,0.848,0.042,-0.108
11.76,0.7340000000000001,0.121,-0.08
11.84,0.777,0.126,-0.111
11.92,0.835,0.273,-0.015
12.0,1.163,0.306,-0.073
12.08,1.213,0.507,-0.165
12.16,1.255,0.7490000000000001,-0.345
12.24,1.238,0.5670000000000001,-0.117
12.32,0.8340000000000001,0.394,-0.36
12.4,0.7140000000000001,0.586,-0.391
12.48,0.799,0.467,-0.17600000000000002
12.56,0.718,0.32,-0.19
12.64,0.6940000000000001,0.267,-0.18
12.72,0.792,0.237,0.075
12.8,0.897,0.233,0.156
12.88,0.768,0.322,0.27
12.96,0.682,0.337,0.299
13.04,0.972,0.29600000000000004,0.405
13.12,1.006,0.255,0.41
13.2,0.852,0.265,0.386
13.28,0.856,0.25,0.358
13.36,0.8959999999999999,0.257,0.438
13.44,0.8740000000000001,0.202,0.418
13.52,0.905,0.207,0.407
13.6,0.885,0.197,0.382
13.68,0.963,0.235,0.444
13.76,0.89,0.299,0.421
13.84,0.812,0.345,0.345
13.92,0.924,0.306,0.245
14.0,0.95,0.29600000000000004,0.24
14.08,0.955,0.284,0.243
14.16,0.941,0.276,0.24
14.24,0.945,0.275,0.251
14.32,0.943,0.272,0.256
14.4,0.94,0.268,0.262
14.48,0.9259999999999999,0.263,0.271
14.56,0.93,0.268,0.27
14.64,0.943,0.267,0.271
14.72,0.953,0.268,0.263
14.8,0.9470000000000001,0.266,0.23800000000000002
14.88,0.946,0.271,0.22699999999999998
14.96,0.973,0.272,0.20800000000000002
15.04,0.9790000000000001,0.278,0.213
15.12,0.94,0.265,0.223
15.2,0.93,0.27699999999999997,0.24
15.28,0.932,0.31,0.276
15.36,0.893,0.34299999999999997,0.33299999999999996
15.44,0.846,0.34700000000000003,0.39299999999999996
15.52,0.8170000000000001,0.331,0.431
15.6,0.792,0.305,0.42
15.68,0.711,0.248,0.40700000000000003
15.76,0.565,0.17800000000000002,0.306
15.84,0.486,0.156,0.162
15.92,0.5429999999999999,0.191,0.053
16.0,1.032,0.315,-0.062
16.080000000000002,1.943,0.8140000000000001,-0.062
16.16,2.141,0.799,0.105
16.240000000000002,0.8490000000000001,0.462,0.27699999999999997
16.32,-0.015,0.016,0.026000000000000002
16.4,-0.081,-0.025,-0.08199999999999999
16.48,-0.147,-0.016,0.012
16.56,0.257,-0.051,0.062
16.64,2.427,-1.1420000000000001,0.578
16.72,2.082,-2.54,0.205
16.8,-0.02,-0.381,0.14
16.88,0.574,-0.45299999999999996,0.682
16.96,0.7559999999999999,-0.508,0.878
17.04,0.8,-0.203,0.831
17.12,0.5,-0.23,0.8759999999999999
17.2,0.369,-0.201,0.91
17.28,0.336,-0.15,0.875
17.36,0.32,-0.225,0.884
17.44,0.375,-0.317,0.935
17.52,0.42100000000000004,-0.17800000000000002,1.0
17.6,0.441,0.024,0.831
17.68,0.56,-0.23199999999999998,0.953
17.76,0.446,-0.33399999999999996,0.883
17.84,0.35100000000000003,-0.318,0.8370000000000001
17.92,0.354,-0.24600000000000002,0.9
18.0,0.366,-0.226,0.932
18.08,0.298,-0.242,0.914
18.16,0.377,-0.262,0.8859999999999999
18.24,0.34,-0.177,0.934
18.32,0.353,-0.154,0.9359999999999999
18.4,0.451,-0.182,0.8859999999999999
