epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1552338959580,2019-03-11T17.15.59.580,0.000,0.904,0.250,0.380
1552338959660,2019-03-11T17.15.59.660,0.080,0.915,0.251,0.371
1552338959740,2019-03-11T17.15.59.740,0.160,0.913,0.252,0.362
1552338959820,2019-03-11T17.15.59.820,0.240,0.915,0.253,0.358
1552338959900,2019-03-11T17.15.59.900,0.320,0.915,0.265,0.348
1552338959980,2019-03-11T17.15.59.980,0.400,0.910,0.267,0.349
1552338960060,2019-03-11T17.16.00.060,0.480,0.915,0.260,0.354
1552338960140,2019-03-11T17.16.00.140,0.560,0.920,0.259,0.352
1552338960220,2019-03-11T17.16.00.220,0.640,0.920,0.263,0.337
1552338960300,2019-03-11T17.16.00.300,0.720,0.923,0.272,0.327
1552338960380,2019-03-11T17.16.00.380,0.800,0.914,0.263,0.318
1552338960460,2019-03-11T17.16.00.460,0.880,0.923,0.251,0.317
1552338960540,2019-03-11T17.16.00.540,0.960,0.918,0.251,0.293
1552338960620,2019-03-11T17.16.00.620,1.040,0.876,0.334,0.271
1552338960700,2019-03-11T17.16.00.700,1.120,0.905,0.441,0.281
1552338960780,2019-03-11T17.16.00.780,1.200,0.879,0.433,0.291
1552338960860,2019-03-11T17.16.00.860,1.280,0.863,0.449,0.273
1552338960940,2019-03-11T17.16.00.940,1.360,0.873,0.473,0.258
1552338961020,2019-03-11T17.16.01.020,1.440,0.893,0.484,0.269
1552338961100,2019-03-11T17.16.01.100,1.520,0.890,0.472,0.269
1552338961180,2019-03-11T17.16.01.180,1.600,0.870,0.441,0.254
1552338961260,2019-03-11T17.16.01.260,1.680,0.935,0.355,0.250
1552338961340,2019-03-11T17.16.01.340,1.760,0.954,0.255,0.202
1552338961420,2019-03-11T17.16.01.420,1.840,0.969,0.240,0.217
1552338961500,2019-03-11T17.16.01.500,1.920,0.966,0.228,0.227
1552338961580,2019-03-11T17.16.01.580,2.000,0.914,0.207,0.178
1552338961660,2019-03-11T17.16.01.660,2.080,0.982,0.229,0.203
1552338961740,2019-03-11T17.16.01.740,2.160,0.979,0.306,0.277
1552338961820,2019-03-11T17.16.01.820,2.240,0.791,0.351,0.202
1552338961900,2019-03-11T17.16.01.900,2.320,0.924,0.391,0.168
1552338961980,2019-03-11T17.16.01.980,2.400,0.982,0.378,0.164
1552338962060,2019-03-11T17.16.02.060,2.480,0.867,0.395,0.125
1552338962140,2019-03-11T17.16.02.140,2.560,0.863,0.452,0.125
1552338962220,2019-03-11T17.16.02.220,2.640,0.835,0.436,0.151
1552338962300,2019-03-11T17.16.02.300,2.720,0.778,0.398,0.140
1552338962380,2019-03-11T17.16.02.380,2.800,0.764,0.446,0.126
1552338962460,2019-03-11T17.16.02.460,2.880,0.708,0.411,0.076
1552338962540,2019-03-11T17.16.02.540,2.960,0.695,0.506,0.008
1552338962620,2019-03-11T17.16.02.620,3.040,0.653,0.549,0.042
1552338962700,2019-03-11T17.16.02.700,3.120,0.453,0.540,0.088
1552338962780,2019-03-11T17.16.02.780,3.200,0.453,0.684,0.101
1552338962860,2019-03-11T17.16.02.860,3.280,0.631,0.844,0.195
1552338962940,2019-03-11T17.16.02.940,3.360,0.855,0.662,0.423
1552338963020,2019-03-11T17.16.03.020,3.440,0.642,-0.776,0.595
1552338963100,2019-03-11T17.16.03.100,3.520,0.929,-2.160,0.321
1552338963180,2019-03-11T17.16.03.180,3.600,1.171,-1.688,-0.099
1552338963260,2019-03-11T17.16.03.260,3.680,1.158,-0.851,-0.394
1552338963340,2019-03-11T17.16.03.340,3.760,1.021,-0.242,-0.428
1552338963420,2019-03-11T17.16.03.420,3.840,0.879,-0.288,-0.165
1552338963500,2019-03-11T17.16.03.500,3.920,0.925,-0.498,-0.057
1552338963580,2019-03-11T17.16.03.580,4.000,0.805,-0.601,0.004
1552338963660,2019-03-11T17.16.03.660,4.080,0.626,-0.312,0.120
1552338963740,2019-03-11T17.16.03.740,4.160,1.027,-0.474,-0.210
1552338963820,2019-03-11T17.16.03.820,4.240,1.031,-0.573,-0.453
1552338963900,2019-03-11T17.16.03.900,4.320,0.808,-0.230,-0.088
1552338963980,2019-03-11T17.16.03.980,4.400,0.860,-0.395,-0.427
