epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1552341086188,2019-03-11T17.51.26.188,0.000,0.986,-0.081,0.150
1552341086268,2019-03-11T17.51.26.268,0.080,1.000,-0.079,0.150
1552341086348,2019-03-11T17.51.26.348,0.160,0.996,-0.071,0.155
1552341086428,2019-03-11T17.51.26.428,0.240,0.991,-0.064,0.157
1552341086508,2019-03-11T17.51.26.508,0.320,0.991,-0.088,0.144
1552341086588,2019-03-11T17.51.26.588,0.400,1.001,-0.073,0.141
1552341086668,2019-03-11T17.51.26.668,0.480,0.991,-0.095,0.148
1552341086748,2019-03-11T17.51.26.748,0.560,0.989,-0.085,0.144
1552341086828,2019-03-11T17.51.26.828,0.640,0.989,-0.095,0.144
1552341086908,2019-03-11T17.51.26.908,0.720,0.992,-0.100,0.133
1552341086988,2019-03-11T17.51.26.988,0.800,0.997,-0.104,0.128
1552341087068,2019-03-11T17.51.27.068,0.880,0.994,-0.112,0.118
1552341087148,2019-03-11T17.51.27.148,0.960,1.000,-0.138,0.112
1552341087228,2019-03-11T17.51.27.228,1.040,0.991,-0.172,0.085
1552341087308,2019-03-11T17.51.27.308,1.120,0.982,-0.161,0.074
1552341087388,2019-03-11T17.51.27.388,1.200,0.999,-0.146,0.072
1552341087468,2019-03-11T17.51.27.468,1.280,1.013,-0.047,0.082
1552341087548,2019-03-11T17.51.27.548,1.360,0.999,0.032,0.123
1552341087628,2019-03-11T17.51.27.628,1.440,1.005,0.021,0.117
1552341087708,2019-03-11T17.51.27.708,1.520,1.001,-0.021,0.134
1552341087788,2019-03-11T17.51.27.788,1.600,1.002,-0.030,0.136
1552341087868,2019-03-11T17.51.27.868,1.680,1.000,-0.016,0.143
1552341087948,2019-03-11T17.51.27.948,1.760,0.992,-0.025,0.117
1552341088028,2019-03-11T17.51.28.028,1.840,0.997,-0.044,0.098
1552341088108,2019-03-11T17.51.28.108,1.920,0.985,-0.053,0.073
1552341088188,2019-03-11T17.51.28.188,2.000,0.972,-0.073,0.027
1552341088268,2019-03-11T17.51.28.268,2.080,0.954,-0.125,0.002
1552341088348,2019-03-11T17.51.28.348,2.160,1.014,-0.120,-0.015
1552341088428,2019-03-11T17.51.28.428,2.240,0.972,-0.141,-0.071
1552341088508,2019-03-11T17.51.28.508,2.320,0.821,-0.098,-0.097
1552341088588,2019-03-11T17.51.28.588,2.400,0.754,0.104,-0.062
1552341088668,2019-03-11T17.51.28.668,2.480,0.983,-0.157,0.006
1552341088748,2019-03-11T17.51.28.748,2.560,1.219,-0.389,0.019
1552341088828,2019-03-11T17.51.28.828,2.640,1.094,-0.347,-0.075
1552341088908,2019-03-11T17.51.28.908,2.720,1.100,-0.408,-0.101
1552341088988,2019-03-11T17.51.28.988,2.800,0.989,-0.350,-0.153
1552341089068,2019-03-11T17.51.29.068,2.880,0.766,-0.199,-0.129
1552341089148,2019-03-11T17.51.29.148,2.960,0.826,-0.159,-0.001
1552341089228,2019-03-11T17.51.29.228,3.040,1.726,-0.268,0.137
1552341089308,2019-03-11T17.51.29.308,3.120,1.001,-0.415,-0.067
1552341089388,2019-03-11T17.51.29.388,3.200,0.017,-0.209,-0.067
1552341089468,2019-03-11T17.51.29.468,3.280,-0.110,-0.209,-0.114
1552341089548,2019-03-11T17.51.29.548,3.360,0.166,-0.218,-0.086
1552341089628,2019-03-11T17.51.29.628,3.440,0.646,-1.339,0.736
1552341089708,2019-03-11T17.51.29.708,3.520,-0.046,-1.911,2.601
1552341089788,2019-03-11T17.51.29.788,3.600,-1.011,0.158,0.837
1552341089868,2019-03-11T17.51.29.868,3.680,-0.754,-0.245,0.365
1552341089948,2019-03-11T17.51.29.948,3.760,-0.784,-0.287,0.658
1552341090028,2019-03-11T17.51.30.028,3.840,-0.750,-0.292,0.636
1552341090108,2019-03-11T17.51.30.108,3.920,-0.559,-0.404,0.692
1552341090188,2019-03-11T17.51.30.188,4.000,-0.487,-0.599,0.848
1552341090268,2019-03-11T17.51.30.268,4.080,-0.344,-0.516,0.746
1552341090348,2019-03-11T17.51.30.348,4.160,-0.685,-0.550,0.426
1552341090428,2019-03-11T17.51.30.428,4.240,-0.400,-0.844,0.456
1552341090508,2019-03-11T17.51.30.508,4.320,0.373,-0.862,0.676
1552341090588,2019-03-11T17.51.30.588,4.400,0.261,-0.602,0.616
1552341090668,2019-03-11T17.51.30.668,4.480,-0.097,-0.856,0.667
1552341090748,2019-03-11T17.51.30.748,4.560,-0.298,-0.874,0.437
1552341090828,2019-03-11T17.51.30.828,4.640,-0.221,-0.782,0.517
1552341090908,2019-03-11T17.51.30.908,4.720,-0.133,-0.798,0.580
1552341090988,2019-03-11T17.51.30.988,4.800,-0.149,-0.773,0.594
1552341091068,2019-03-11T17.51.31.068,4.880,-0.134,-0.770,0.588
1552341091148,2019-03-11T17.51.31.148,4.960,-0.180,-0.801,0.541
1552341091228,2019-03-11T17.51.31.228,5.040,-0.158,-0.792,0.561
1552341091308,2019-03-11T17.51.31.308,5.120,-0.146,-0.790,0.556
1552341091388,2019-03-11T17.51.31.388,5.200,-0.159,-0.794,0.554
1552341091468,2019-03-11T17.51.31.468,5.280,-0.158,-0.791,0.560
1552341091548,2019-03-11T17.51.31.548,5.360,-0.158,-0.794,0.563
1552341091628,2019-03-11T17.51.31.628,5.440,-0.136,-0.788,0.577
1552341091708,2019-03-11T17.51.31.708,5.520,-0.156,-0.786,0.563
1552341091788,2019-03-11T17.51.31.788,5.600,-0.218,-0.789,0.544
