epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1552340438734,2019-03-11T17.40.38.734,0.000,0.992,-0.133,0.008
1552340438814,2019-03-11T17.40.38.814,0.080,0.996,-0.127,0.012
1552340438894,2019-03-11T17.40.38.894,0.160,0.997,-0.122,0.015
1552340438974,2019-03-11T17.40.38.974,0.240,1.000,-0.122,0.012
1552340439054,2019-03-11T17.40.39.054,0.320,0.999,-0.125,0.011
1552340439134,2019-03-11T17.40.39.134,0.400,0.995,-0.122,0.008
1552340439214,2019-03-11T17.40.39.214,0.480,1.000,-0.127,0.003
1552340439294,2019-03-11T17.40.39.294,0.560,0.997,-0.128,0.005
1552340439374,2019-03-11T17.40.39.374,0.640,0.999,-0.127,0.005
1552340439454,2019-03-11T17.40.39.454,0.720,0.999,-0.130,0.002
1552340439534,2019-03-11T17.40.39.534,0.800,0.997,-0.126,0.002
1552340439614,2019-03-11T17.40.39.614,0.880,0.995,-0.128,0.007
1552340439694,2019-03-11T17.40.39.694,0.960,1.007,-0.140,-0.013
1552340439774,2019-03-11T17.40.39.774,1.040,1.017,-0.152,-0.029
1552340439854,2019-03-11T17.40.39.854,1.120,1.021,-0.190,-0.046
1552340439934,2019-03-11T17.40.39.934,1.200,1.008,-0.237,-0.068
1552340440014,2019-03-11T17.40.40.014,1.280,0.924,-0.202,-0.043
1552340440094,2019-03-11T17.40.40.094,1.360,0.981,-0.047,0.136
1552340440174,2019-03-11T17.40.40.174,1.440,0.958,-0.096,0.179
1552340440254,2019-03-11T17.40.40.254,1.520,0.894,-0.230,0.117
1552340440334,2019-03-11T17.40.40.334,1.600,1.108,-0.151,0.078
1552340440414,2019-03-11T17.40.40.414,1.680,0.974,-0.161,-0.005
1552340440494,2019-03-11T17.40.40.494,1.760,0.969,-0.234,-0.014
1552340440574,2019-03-11T17.40.40.574,1.840,1.008,-0.133,-0.048
1552340440654,2019-03-11T17.40.40.654,1.920,1.005,-0.121,-0.003
1552340440734,2019-03-11T17.40.40.734,2.000,1.031,-0.100,-0.006
1552340440814,2019-03-11T17.40.40.814,2.080,0.978,-0.073,-0.032
1552340440894,2019-03-11T17.40.40.894,2.160,1.021,-0.022,0.001
1552340440974,2019-03-11T17.40.40.974,2.240,0.998,-0.043,0.016
1552340441054,2019-03-11T17.40.41.054,2.320,1.010,-0.033,0.020
1552340441134,2019-03-11T17.40.41.134,2.400,0.997,-0.048,0.015
1552340441214,2019-03-11T17.40.41.214,2.480,0.986,-0.009,-0.037
1552340441294,2019-03-11T17.40.41.294,2.560,0.983,0.062,-0.099
1552340441374,2019-03-11T17.40.41.374,2.640,0.988,-0.171,-0.144
1552340441454,2019-03-11T17.40.41.454,2.720,1.036,-0.263,-0.071
1552340441534,2019-03-11T17.40.41.534,2.800,0.947,-0.230,0.009
1552340441614,2019-03-11T17.40.41.614,2.880,0.932,-0.210,0.021
1552340441694,2019-03-11T17.40.41.694,2.960,0.880,-0.132,-0.096
1552340441774,2019-03-11T17.40.41.774,3.040,0.835,-0.208,-0.171
1552340441854,2019-03-11T17.40.41.854,3.120,0.831,-0.149,-0.184
1552340441934,2019-03-11T17.40.41.934,3.200,0.846,-0.157,-0.198
1552340442014,2019-03-11T17.40.42.014,3.280,0.953,-0.211,-0.179
1552340442094,2019-03-11T17.40.42.094,3.360,0.971,-0.108,-0.177
1552340442174,2019-03-11T17.40.42.174,3.440,0.921,-0.136,-0.178
1552340442254,2019-03-11T17.40.42.254,3.520,0.847,-0.116,-0.163
1552340442334,2019-03-11T17.40.42.334,3.600,0.646,-0.093,-0.134
1552340442414,2019-03-11T17.40.42.414,3.680,0.630,-0.205,0.010
1552340442494,2019-03-11T17.40.42.494,3.760,1.349,-0.431,0.026
1552340442574,2019-03-11T17.40.42.574,3.840,1.543,-1.225,0.262
1552340442654,2019-03-11T17.40.42.654,3.920,0.853,-0.928,0.538
1552340442734,2019-03-11T17.40.42.734,4.000,0.235,-0.430,0.673
1552340442814,2019-03-11T17.40.42.814,4.080,-0.135,-0.523,0.583
1552340442894,2019-03-11T17.40.42.894,4.160,-0.579,-0.618,0.999
1552340442974,2019-03-11T17.40.42.974,4.240,-0.488,-0.518,1.032
1552340443054,2019-03-11T17.40.43.054,4.320,-0.359,-0.450,0.554
1552340443134,2019-03-11T17.40.43.134,4.400,-0.296,-0.691,0.677
1552340443214,2019-03-11T17.40.43.214,4.480,-0.117,-0.764,0.693
1552340443294,2019-03-11T17.40.43.294,4.560,-0.123,-0.778,0.558
1552340443374,2019-03-11T17.40.43.374,4.640,0.049,-0.776,0.678
1552340443454,2019-03-11T17.40.43.454,4.720,0.346,-0.522,0.886
1552340443534,2019-03-11T17.40.43.534,4.800,-0.188,-0.679,0.761
1552340443614,2019-03-11T17.40.43.614,4.880,0.033,-0.615,0.795
1552340443694,2019-03-11T17.40.43.694,4.960,-0.039,-0.571,0.793
1552340443774,2019-03-11T17.40.43.774,5.040,-0.158,-0.651,0.745
1552340443854,2019-03-11T17.40.43.854,5.120,-0.071,-0.643,0.737
