elapsed (s),x-axis (g),y-axis (g),z-axis (g),fall
0.0,0.395,-0.893,-0.107,0
0.08,0.354,-0.969,-0.139,0
0.16,0.361,-0.966,-0.125,0
0.24,0.359,-0.987,-0.146,0
0.32,0.3,-0.942,-0.126,0
0.4,0.187,-0.8440000000000001,-0.065,0
0.48,0.183,-0.952,-0.006999999999999999,0
0.56,0.205,-0.956,0.058,0
0.64,0.2,-0.88,0.063,0
0.72,0.254,-0.912,0.077,0
0.8,0.252,-0.906,0.098,0
0.88,0.261,-0.946,0.099,0
0.96,0.295,-1.048,0.059,0
1.04,0.299,-1.1840000000000002,-0.047,0
1.12,0.254,-0.8079999999999999,-0.08900000000000001,0
1.2,0.405,-0.792,-0.147,0
1.28,0.4,-0.987,-0.059,0
1.36,0.308,-0.855,-0.009000000000000001,0
1.44,0.331,-0.909,-0.037000000000000005,0
1.52,0.324,-0.873,-0.037000000000000005,0
1.6,0.32299999999999995,-0.934,-0.022,0
1.68,0.32299999999999995,-1.122,0.018000000000000002,0
1.76,0.257,-1.022,-0.054000000000000006,0
1.84,0.194,-0.736,-0.091,0
1.92,0.16699999999999998,-0.938,-0.135,0
2.0,0.205,-1.087,-0.042,0
2.08,0.188,-0.873,0.024,0
2.16,0.145,-0.936,-0.004,0
2.24,0.14400000000000002,-0.959,-0.012,0
2.32,0.197,-0.941,-0.024,0
2.4,0.297,-1.03,0.011,0
2.48,0.278,-0.964,0.016,0
2.56,0.208,-0.903,-0.009000000000000001,0
2.64,0.278,-0.888,-0.031,0
2.72,0.377,-0.87,-0.067,0
2.8,0.4270000000000001,-0.983,-0.083,0
2.88,0.385,-0.915,-0.025,0
2.96,0.428,-0.831,-0.057,0
3.04,0.401,-1.002,-0.017,0
3.12,0.26,-0.916,0.0,0
3.2,0.263,-0.898,-0.027000000000000003,0
3.28,0.28,-0.945,-0.02,0
3.36,0.27,-0.935,0.008,0
3.44,0.301,-0.924,0.01,0
3.52,0.302,-0.945,0.008,0
3.6,0.28600000000000003,-0.935,0.011,0
3.68,0.28600000000000003,-0.93,0.012,0
3.76,0.281,-0.939,-0.0,0
3.84,0.29100000000000004,-0.938,0.004,0
3.92,0.294,-0.938,0.006999999999999999,0
4.0,0.292,-0.935,0.009000000000000001,0
4.08,0.29100000000000004,-0.935,0.008,0
4.16,0.281,-0.935,-0.006999999999999999,0
4.24,0.285,-0.936,-0.006999999999999999,0
4.32,0.28800000000000003,-0.938,-0.009000000000000001,0
4.4,0.28600000000000003,-0.942,-0.006999999999999999,0
4.48,0.295,-0.935,0.003,0
4.56,0.293,-0.937,0.008,0
4.64,0.292,-0.933,0.006,0
4.72,0.292,-0.93,0.012,0
4.8,0.295,-0.932,0.013,0
4.88,0.298,-0.932,0.014,0
4.96,0.306,-0.933,0.018000000000000002,0
5.04,0.307,-0.929,0.025,0
5.12,0.309,-0.929,0.023,0
5.2,0.309,-0.932,0.019,0
5.28,0.304,-0.934,0.018000000000000002,0
5.36,0.302,-0.932,0.012,0
5.44,0.304,-0.93,0.016,0
5.52,0.299,-0.933,0.015,0
5.6,0.298,-0.936,0.02,0
5.68,0.295,-0.933,0.019,0
5.76,0.29600000000000004,-0.933,0.013,0
5.84,0.294,-0.936,0.019,0
5.92,0.29,-0.934,0.016,0
6.0,0.28600000000000003,-0.938,0.018000000000000002,0
6.08,0.278,-0.936,0.019,0
6.16,0.275,-0.929,0.015,0
6.24,0.284,-0.933,0.004,0
6.32,0.298,-0.941,-0.01,0
6.4,0.299,-0.938,-0.008,0
6.48,0.301,-0.92,-0.006,0
6.56,0.328,-0.916,-0.014,0
6.64,0.35,-0.916,-0.013,0
6.72,0.37,-0.897,-0.004,0
6.8,0.396,-0.914,0.008,0
6.88,0.41,-0.914,0.021,0
6.96,0.403,-0.91,0.044,0
7.04,0.362,-0.907,0.042,0
7.12,0.35100000000000003,-0.895,0.022,0
7.2,0.345,-0.913,0.018000000000000002,0
7.28,0.32,-0.931,0.011,0
7.36,0.316,-0.93,0.018000000000000002,0
7.44,0.301,-0.934,0.003,0
7.52,0.292,-0.915,-0.009000000000000001,0
7.6,0.328,-0.903,-0.015,0
7.68,0.365,-0.927,-0.006999999999999999,0
7.76,0.36,-0.919,-0.004,0
7.84,0.341,-0.917,-0.019,0
7.92,0.34600000000000003,-0.91,-0.049,0
8.0,0.349,-0.927,-0.077,0
8.08,0.365,-0.92,-0.081,0
8.16,0.369,-0.938,-0.08900000000000001,0
8.24,0.35,-0.964,-0.08900000000000001,0
8.32,0.285,-0.909,-0.1,0
8.4,0.211,-0.947,-0.157,0
8.48,0.119,-0.975,-0.224,0
8.56,0.077,-0.94,-0.217,0
8.64,0.032,-0.948,-0.152,0
8.72,0.011,-0.965,-0.146,0
8.8,0.036000000000000004,-0.97,-0.123,0
8.88,-0.009000000000000001,-0.963,-0.105,0
8.96,-0.045,-0.956,-0.091,0
9.04,0.014,-0.977,-0.034,0
9.12,0.093,-0.982,0.026,0
9.2,0.121,-0.979,0.068,0
9.28,0.188,-0.997,0.013,0
9.36,0.236,-0.884,-0.037000000000000005,0
9.44,0.408,-0.902,-0.057,0
9.52,0.332,-0.942,-0.049,0
9.6,0.344,-0.878,-0.054000000000000006,0
9.68,0.373,-0.894,-0.081,0
9.76,0.3720000000000001,-0.883,-0.06,0
9.84,0.383,-0.914,-0.103,0
9.92,0.371,-0.988,-0.083,0
10.0,0.354,-1.108,-0.063,0
10.08,0.33,-1.011,-0.13699999999999998,0
10.16,0.162,-0.759,-0.168,0
10.24,0.228,-0.949,-0.084,0
10.32,0.207,-0.91,0.032,0
10.4,0.215,-0.8540000000000001,0.051,0
10.48,0.208,-0.912,0.058,0
10.56,0.224,-0.928,0.023,0
10.64,0.27,-1.04,0.031,0
10.72,0.375,-1.123,-0.037000000000000005,0
10.8,0.406,-0.88,-0.134,0
10.88,0.366,-0.843,-0.192,0
10.96,0.275,-0.8759999999999999,-0.103,0
11.04,0.344,-0.799,-0.026,0
11.12,0.34600000000000003,-0.884,0.001,0
11.2,0.308,-0.895,0.033,0
11.28,0.312,-1.016,0.06,0
11.36,0.29100000000000004,-1.205,0.018000000000000002,0
11.44,0.328,-0.929,-0.07400000000000001,0
11.52,0.218,-0.812,-0.131,0
11.6,0.329,-0.962,-0.053,0
11.68,0.408,-0.825,0.02,0
11.76,0.34,-0.8690000000000001,-0.058,0
11.84,0.342,-0.911,-0.105,0
11.92,0.334,-0.8440000000000001,-0.21,0
12.0,0.29100000000000004,-1.014,-0.256,0
12.08,0.377,-0.978,-0.208,0
12.16,0.456,-0.812,-0.224,0
12.24,0.583,-0.8059999999999999,-0.166,0
12.32,0.565,-0.851,-0.138,0
12.4,0.5329999999999999,-0.8140000000000001,-0.131,0
12.48,0.5489999999999999,-0.8340000000000001,-0.154,0
12.56,0.489,-0.8420000000000001,-0.152,0
12.64,0.483,-0.792,-0.173,0
12.72,0.5,-0.863,-0.2,0
12.8,0.45,-0.919,-0.132,0
12.88,0.328,-0.893,-0.096,0
12.96,0.318,-0.86,-0.094,0
13.04,0.28300000000000003,-0.973,-0.083,0
13.12,0.193,-0.948,-0.08800000000000001,0
13.2,0.156,-0.983,-0.066,0
13.28,0.145,-0.994,-0.016,0
13.36,0.16399999999999998,-0.938,0.021,0
13.44,0.113,-0.945,-0.02,0
13.52,0.122,-0.979,-0.054000000000000006,0
13.6,0.211,-1.01,-0.03,0
13.68,0.274,-1.047,0.012,0
13.76,0.282,-0.8490000000000001,0.05,0
13.84,0.259,-0.911,0.039,0
13.92,0.259,-0.943,0.075,0
14.0,0.254,-0.932,0.108,0
14.08,0.243,-0.937,0.105,0
14.16,0.21,-0.931,0.095,0
14.24,0.218,-0.945,0.134,0
14.32,0.245,-0.94,0.141,0
14.4,0.243,-0.927,0.12,0
14.48,0.274,-0.945,0.097,0
14.56,0.284,-0.94,0.063,0
14.64,0.28600000000000003,-0.927,0.046,0
14.72,0.259,-0.948,0.064,0
14.8,0.229,-0.957,0.077,0
14.88,0.227,-0.948,0.102,0
14.96,0.235,-0.946,0.105,0
15.04,0.255,-0.932,0.103,0
15.12,0.277,-0.8859999999999999,0.095,0
15.2,0.333,-0.845,0.07200000000000001,0
15.28,0.454,-0.96,0.037000000000000005,0
15.36,0.363,-0.95,0.022,0
15.44,0.326,-0.903,-0.015,0
15.52,0.47,-0.932,0.058,0
15.6,0.395,-0.835,-0.026,0
15.68,0.378,-0.88,-0.07400000000000001,0
15.76,0.375,-1.054,-0.052000000000000005,0
15.84,0.312,-0.987,-0.08900000000000001,0
15.92,0.227,-0.91,0.013,0
16.0,0.173,-0.821,-0.061,0
16.08,0.142,-1.01,-0.086,0
16.16,0.16699999999999998,-1.002,-0.027000000000000003,0
16.24,0.062,-0.966,-0.071,0
16.32,0.075,-0.956,-0.061,0
16.4,0.14,-0.956,-0.024,0
16.48,0.116,-0.975,-0.1,0
16.56,0.038,-0.971,-0.092,0
16.64,0.124,-0.977,-0.045,0
16.72,0.271,-0.96,-0.051,0
16.8,0.256,-0.8270000000000001,-0.116,0
16.88,0.345,-0.828,-0.182,0
16.96,0.43,-0.8490000000000001,-0.297,0
17.04,0.44,-0.912,-0.344,0
17.12,0.534,-0.857,-0.342,0
17.2,0.612,-0.792,-0.308,0
17.28,0.596,-0.7759999999999999,-0.294,0
17.36,0.575,-0.737,-0.34600000000000003,0
17.44,0.5820000000000001,-0.755,-0.251,0
