epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1554151825254,2019-04-01T16.50.25.254,0.000,0.372,-0.887,-0.225
1554151825334,2019-04-01T16.50.25.334,0.080,0.404,-1.111,-0.292
1554151825414,2019-04-01T16.50.25.414,0.160,0.308,-0.821,-0.251
1554151825494,2019-04-01T16.50.25.494,0.240,0.320,-0.570,-0.194
1554151825574,2019-04-01T16.50.25.574,0.320,0.402,-1.001,-0.298
1554151825654,2019-04-01T16.50.25.654,0.400,0.347,-1.032,-0.311
1554151825734,2019-04-01T16.50.25.734,0.480,0.344,-0.799,-0.235
1554151825814,2019-04-01T16.50.25.814,0.560,0.320,-0.787,-0.300
1554151825894,2019-04-01T16.50.25.894,0.640,0.364,-0.875,-0.290
1554151825974,2019-04-01T16.50.25.974,0.720,0.420,-0.773,-0.288
1554151826054,2019-04-01T16.50.26.054,0.800,0.387,-0.839,-0.357
1554151826134,2019-04-01T16.50.26.134,0.880,0.426,-0.871,-0.287
1554151826214,2019-04-01T16.50.26.214,0.960,0.598,-0.976,-0.198
1554151826294,2019-04-01T16.50.26.294,1.040,0.605,-0.889,-0.181
1554151826374,2019-04-01T16.50.26.374,1.120,0.495,-0.711,-0.145
1554151826454,2019-04-01T16.50.26.454,1.200,0.464,-0.741,-0.168
1554151826534,2019-04-01T16.50.26.534,1.280,0.534,-0.901,-0.201
1554151826614,2019-04-01T16.50.26.614,1.360,0.427,-0.865,-0.180
1554151826694,2019-04-01T16.50.26.694,1.440,0.338,-0.750,-0.180
1554151826774,2019-04-01T16.50.26.774,1.520,0.282,-0.907,-0.300
1554151826854,2019-04-01T16.50.26.854,1.600,0.331,-1.053,-0.272
1554151826934,2019-04-01T16.50.26.934,1.680,0.321,-1.014,-0.215
1554151827014,2019-04-01T16.50.27.014,1.760,0.262,-0.818,-0.167
1554151827094,2019-04-01T16.50.27.094,1.840,0.260,-0.817,-0.214
1554151827174,2019-04-01T16.50.27.174,1.920,0.373,-0.992,-0.245
1554151827254,2019-04-01T16.50.27.254,2.000,0.396,-0.832,-0.177
1554151827334,2019-04-01T16.50.27.334,2.080,0.312,-0.759,-0.170
1554151827414,2019-04-01T16.50.27.414,2.160,0.404,-0.883,-0.258
1554151827494,2019-04-01T16.50.27.494,2.240,0.506,-1.004,-0.231
1554151827574,2019-04-01T16.50.27.574,2.320,0.455,-0.857,-0.170
1554151827654,2019-04-01T16.50.27.654,2.400,0.466,-0.746,-0.183
1554151827734,2019-04-01T16.50.27.734,2.480,0.486,-0.796,-0.197
1554151827814,2019-04-01T16.50.27.814,2.560,0.516,-0.856,-0.171
